Round/Pick,Team,Amount,Player,Player Team,Player Position
10.1,Victorious Secret,1,"Carter, Michael",NYJ,RB
11.1,Army Math,1,"Higbee, Tyler",LAR,TE
11.2,Acute Gronkitis,1,"Singletary, Devin",BUF,RB
11.3,Show Me Your TDs!,1,"Moss, Zack",BUF,RB
11.4,Victorious Secret,1,"Tonyan, Robert",GBP,TE
11.5,Show Me Your TDs!,1,"Burrow, Joe",CIN,QB
11.6,Victorious Secret,1,"Ryan, Matt",ATL,QB
11.7,Show Me Your TDs!,1,"Chark, D.J.",JAC,WR
11.8,Victorious Secret,1,"Jones, Ronald",TBB,RB
11.9,Show Me Your TDs!,1,"Shenault, Laviska",JAC,WR
11.1,Victorious Secret,1,"Waddle, Jaylen",MIA,WR
