fpts,player,position,team,Value,points_per_dollar,position.x_QB,position.x_RB,position.x_TE,position.x_WR,position.x_FLEX
306.1,Travis KelceKC,TE,KC,53,5.775471698113208,0,0,1,0,0
170.3,Jakobi MeyersNE,WR,NE,1,170.3,0,0,0,1,1
163.4,Tyrell WilliamsDet,WR,DET,1,163.4,0,0,0,1,1
161.3,Mecole HardmanKC,WR,KC,1,161.3,0,0,0,1,1
139.2,Parris CampbellInd,WR,IND,1,139.2,0,0,0,1,1
172.3,Henry Ruggs IIILV,WR,LV,2,86.15,0,0,0,1,1
168.3,Marquez CallawayNO,WR,NO,2,84.15,0,0,0,1,1
196.3,Curtis SamuelWsh,WR,WAS,3,65.43333333333334,0,0,0,1,1
194.9,Jarvis LandryCle,WR,CLE,3,64.96666666666667,0,0,0,1,1
193,Marquise BrownBal,WR,BAL,3,64.33333333333333,0,0,0,1,1
191.8,Corey DavisNYJ,WR,NYJ,3,63.93333333333334,0,0,0,1,1
187.6,Mike WilliamsLAC,WR,LAC,3,62.53333333333333,0,0,0,1,1
179.9,Jaylen WaddleMia,WR,MIA,3,59.96666666666667,0,0,0,1,1
176,Antonio BrownTB,WR,TB,3,58.666666666666664,0,0,0,1,1
198.8,Marvin Jones Jr.Jax,WR,JAC,4,49.7,0,0,0,1,1
197.3,DeVonta SmithPhi,WR,PHI,4,49.325,0,0,0,1,1
193.6,Deebo SamuelSF,WR,SF,4,48.4,0,0,0,1,1
192.4,DJ Chark Jr.Jax,WR,JAC,4,48.1,0,0,0,1,1
172.2,Michael ThomasONO,WR,NO,4,43.05,0,0,0,1,1
205.8,Michael GallupDal,WR,DAL,5,41.160000000000004,0,0,0,1,1
213.3,Brandin CooksHou,WR,HOU,6,35.550000000000004,0,0,0,1,1
211.9,Jerry JeudyDen,WR,DEN,7,30.271428571428572,0,0,0,1,1
211.3,Chase ClaypoolPit,WR,PIT,7,30.185714285714287,0,0,0,1,1
205.5,Ja'Marr ChaseCin,WR,CIN,7,29.357142857142858,0,0,0,1,1
216.2,Robby AndersonCar,WR,CAR,9,24.022222222222222,0,0,0,1,1
212.4,JuJu Smith-SchusterPit,WR,PIT,9,23.6,0,0,0,1,1
214.9,Courtland SuttonDen,WR,DEN,10,21.490000000000002,0,0,0,1,1
214.6,Kenny GolladayNYG,WR,NYG,10,21.46,0,0,0,1,1
198.8,Odell Beckham Jr.Cle,WR,CLE,10,19.880000000000003,0,0,0,1,1
215.1,Tee HigginsCin,WR,CIN,15,14.34,0,0,0,1,1
224.7,DJ MooreCar,WR,CAR,17,13.217647058823529,0,0,0,1,1
217.8,Brandon AiyukSF,WR,SF,17,12.811764705882354,0,0,0,1,1
235,Cooper KuppLAR,WR,LAR,19,12.368421052631579,0,0,0,1,1
221.5,Julio JonesTen,WR,TEN,18,12.305555555555555,0,0,0,1,1
240.3,Tyler LockettSea,WR,SEA,20,12.015,0,0,0,1,1
228.2,Diontae JohnsonPit,WR,PIT,19,12.010526315789473,0,0,0,1,1
241.2,Adam ThielenMin,WR,MIN,21,11.485714285714286,0,0,0,1,1
225.9,Chris GodwinTB,WR,TB,21,10.757142857142858,0,0,0,1,1
244.1,Mike EvansTB,WR,TB,23,10.613043478260868,0,0,0,1,1
232.9,Amari CooperDal,WR,DAL,22,10.586363636363636,0,0,0,1,1
246.2,Robert WoodsLAR,WR,LAR,24,10.258333333333333,0,0,0,1,1
254.6,Keenan AllenLAC,WR,LAC,30,8.486666666666666,0,0,0,1,1
257.5,Terry McLaurinWsh,WR,WAS,31,8.306451612903226,0,0,0,1,1
244.7,Allen Robinson IIChi,WR,CHI,30,8.156666666666666,0,0,0,1,1
271.2,A.J. BrownTen,WR,TEN,35,7.748571428571428,0,0,0,1,1
290.7,DeAndre HopkinsAri,WR,ARI,38,7.6499999999999995,0,0,0,1,1
259.7,Justin JeffersonMin,WR,MIN,34,7.638235294117647,0,0,0,1,1
274.5,DK MetcalfSea,WR,SEA,36,7.625,0,0,0,1,1
303.2,Stefon DiggsBuf,WR,BUF,40,7.58,0,0,0,1,1
275.6,Calvin RidleyAtl,WR,ATL,37,7.448648648648649,0,0,0,1,1
309.1,Tyreek HillKC,WR,KC,44,7.025,0,0,0,1,1
322.4,Davante AdamsGB,WR,GB,51,6.32156862745098,0,0,0,1,1
